college,channelId,videoId,url,title,publishedAt,relevance_score
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,33jdG0pDRRs,https://www.youtube.com/watch?v=33jdG0pDRRs,Central Texas College Board of Trustees September Meeting (09/23/25),2025-09-09T18:21:27+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,kU6mKGoWkSk,https://www.youtube.com/watch?v=kU6mKGoWkSk,"EPCC Special Board of Trustees Meeting: August 29, 2025",2025-08-30T10:06:56+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,9YcoA_UgxVY,https://www.youtube.com/watch?v=9YcoA_UgxVY,"EPCC Board of Trustees Meeting: August 27, 2025",2025-08-28T16:08:45+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,BXue4MDXOgs,https://www.youtube.com/watch?v=BXue4MDXOgs,"Special Board Meeting: June 25, 2025",2025-08-14T21:21:45+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,3beS_0_aDyQ,https://www.youtube.com/watch?v=3beS_0_aDyQ,"EPCC Board of Trustees Meeting: July 30, 2025",2025-08-14T20:10:04+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,vNgLIg1LzEw,https://www.youtube.com/watch?v=vNgLIg1LzEw,Central Texas College Board of Trustees August Special Meeting &amp; Workshop (08/12/25),2025-08-12T20:21:36+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,1JEjyq5oJL8,https://www.youtube.com/watch?v=1JEjyq5oJL8,"EPCC  Special Board of Trustees Meeting: August 6, 2025",2025-08-08T17:47:28+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,u3wdUgby06Y,https://www.youtube.com/watch?v=u3wdUgby06Y,"Special Board of Trustees Meeting: August 6, 2025",2025-08-07T09:30:20+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,0M-pZNWSJ5w,https://www.youtube.com/watch?v=0M-pZNWSJ5w,Central Texas College Board of Trustees July Meeting (07/29/25),2025-07-30T07:24:21+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,SQGjayZa1Kk,https://www.youtube.com/watch?v=SQGjayZa1Kk,"EPCC Board of Trustees Meeting: June 25, 2025",2025-07-28T19:23:47+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,XK5TwTCUSWM,https://www.youtube.com/watch?v=XK5TwTCUSWM,Central Texas College Board of Trustees June Meeting (06/24/25),2025-06-25T07:19:02+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,kPb6SZcWoNA,https://www.youtube.com/watch?v=kPb6SZcWoNA,Central Texas College Board of Trustees June Workshop (06/17/25),2025-06-18T07:40:12+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,MLV3PseqzHs,https://www.youtube.com/watch?v=MLV3PseqzHs,"EPCC Board of Trustees Meeting: May 28, 2025",2025-06-06T20:52:30+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,FHm0S4psw2o,https://www.youtube.com/watch?v=FHm0S4psw2o,"EPCC Board of Trustees Meeting: April 30, 2025",2025-06-06T20:19:55+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,tv9qL3Dz5gM,https://www.youtube.com/watch?v=tv9qL3Dz5gM,Central Texas College Board of Trustees May Workshop (05/20/25),2025-05-21T07:00:02+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,2lCWBWyzDm0,https://www.youtube.com/watch?v=2lCWBWyzDm0,"EPCC Board of Trustees Meeting: March 26, 2025",2025-04-28T22:32:13+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,w29cI-SCeHI,https://www.youtube.com/watch?v=w29cI-SCeHI,Central Texas College Board of Trustees March Meeting (03/25/25),2025-03-25T20:35:42+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,5WCV4tmzT18,https://www.youtube.com/watch?v=5WCV4tmzT18,EPCC Board of Trustees Meeting: February 25 2025,2025-03-18T15:38:56+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,FBufnBgl1Cg,https://www.youtube.com/watch?v=FBufnBgl1Cg,Central Texas College Board of Trustees March Workshop (03/11/25),2025-03-11T21:42:47+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,4us8Njh2wXA,https://www.youtube.com/watch?v=4us8Njh2wXA,Central Texas College Board of Trustees February Workshop (02/18/25),2025-02-19T00:14:28+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,AqL0U8Waj0Q,https://www.youtube.com/watch?v=AqL0U8Waj0Q,"Special Board Meeting: January 25, 2025",2025-02-07T17:04:19+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,ZdI16Bri55c,https://www.youtube.com/watch?v=ZdI16Bri55c,EPCC Board of Trustees Meeting: January 29 2025,2025-02-07T16:37:24+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,PPsqW5OlGEE,https://www.youtube.com/watch?v=PPsqW5OlGEE,Central Texas College Board of Trustees January Meeting (01/28/25),2025-01-29T08:04:20+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,3Ae0-2z4m3k,https://www.youtube.com/watch?v=3Ae0-2z4m3k,Central Texas College Board of Trustees December Meeting (12/17/24),2024-12-18T07:50:34+00:00,5
Central Texas College,UCoP5c9kvln3ADDRCvVn7etw,18f_q61dw_Q,https://www.youtube.com/watch?v=18f_q61dw_Q,Central Texas College Board of Trustees November Meeting (11/19/24),2024-11-19T19:23:23+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,nUfJvJfQXxA,https://www.youtube.com/watch?v=nUfJvJfQXxA,"EPCC Board of Trustees Meeting: October 29, 2024",2024-11-01T20:59:27+00:00,5
El Paso Community College,UCeDnsaeakptM1bxNx1uyJ6A,E_ZZVsqvXjo,https://www.youtube.com/watch?v=E_ZZVsqvXjo,President&#39;s Town Hall Meetings  Spring 2025,2025-04-11T16:19:11+00:00,2
