college,channelId,videoId,title,publishedAt,score,matched_priority,kw_hits,matched_exclude,reason
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,AHzsV50YRKo,"HCCTV Up To The Minute Live: September 16, 2025",2025-09-16T17:28:23+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,BsZVEU9GmAI,"HCCTV Up To The Minute Live: September 15, 2025",2025-09-16T03:30:17+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,AtmF_NagxFA,"HCCTV Up To The Minute Live: September 12, 2025",2025-09-13T03:34:33+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,DKNSLi9rcaQ,"Unscripted: September 10, 2025",2025-09-12T22:10:53+00:00,1,False,1,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,k0BwRpQrFBk,Learn how an HCC financial coach can help you #wearehcc #financialcoach #financialcoaching #shorts,2025-09-12T21:59:13+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,AaQDc-DICG0,The Topic: Financial Focus September 2025,2025-09-12T21:30:27+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,fqQfll01Pos,"HCCTV Up To The Minute Live: September 11, 2025",2025-09-12T03:33:27+00:00,1,False,1,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,xFZkRy7C7iY,"HCCTV Up To The Minute Live: September 9, 2025",2025-09-11T20:44:32+00:00,1,False,1,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,EDhjxelZ0qc,HCC partners with American College of Education,2025-09-11T19:08:39+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,aKw6VX4GDFY,"Unscripted: September 10, 2025",2025-09-10T17:39:06+00:00,1,False,1,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,EfAq0oetdc8,HCC hosts Fall Convocation 2025 event,2025-09-09T18:23:17+00:00,1,False,1,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,DFG2Wc_JUI4,HCC Alumni Association hosts professional photo day event,2025-09-09T16:56:06+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,n_Fz5u0D9sY,Get connected with the HCC Connect 2 Workforce campaign  #wearehcc #shorts #construction,2025-09-08T20:37:22+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,bStNQFl712Y,"HCCTV Up To The Minute Live: September 8, 2025",2025-09-08T16:54:49+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,vIVM2qWBKAk,HCC is now Houston City College! #wearehcc #shorts #houstoncitycollege #hccrebrand #futureready,2025-09-06T01:02:45+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,ox9FfYQvORs,HCC is a national leader in AI education  #wearehcc #shorts #houstoncitycollege #aieducation,2025-09-06T00:44:06+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,rB0MlxpCrG4,Houston City College unveils bold new logo and brand identity #wearehcc #shorts #houstoncitycollege,2025-09-06T00:25:40+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,C2rhe9l7eks,HCC Fall Convocation 2025 - We Are Going to the Moon: The Journey Continues,2025-09-06T00:01:07+00:00,1,False,1,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,aBtN_R1-SPM,"HCCTV Up To The Minute Live: September 4, 2025",2025-09-05T03:36:39+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,nbh9Oy-mtOU,So You Know: Social Justice Learning Institute  #wearehcc #shorts #socialjusticeeducation #houston,2025-09-04T15:18:04+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,vUjjgHMgNEY,So You Know: Social Justice Learning Institute,2025-09-04T15:13:14+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,ZfKNcZN7PJY,"HCCTV Up To The Minute Live: September 3, 2025",2025-09-04T03:28:01+00:00,1,False,1,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,EM37Zlnb9mw,Get to know TASK Technologies  #wearehcc #shorts #smallbusiness #smallbusinessowner,2025-09-03T20:08:00+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,X_JCj8jMZiQ,Turn maps into career moves with the HCC Geographic Information Science Program  #wearehcc #shorts,2025-09-03T19:23:38+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,j3fX8OVa2Hg,Get to know HCC International Student Ambassador Hawa Moriba  #wearehcc #shorts,2025-09-02T21:35:01+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,2QHqv9v8YEI,2025 Houston Art Car Parade,2025-09-02T21:33:59+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,nPsc-QgSgMw,HCC Fall 2025 Employee Significance Ceremony,2025-09-02T21:22:28+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,8ZKDPl15hGI,Celebrity chef brings wealth of knowledge and skills to HCC  #wearehcc #shorts #culinaryarts,2025-09-02T19:19:54+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,BY0l4JmTV5E,"HCCTV Up To The Minute Live: September 2, 2025",2025-09-02T18:35:39+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,juvlzcOxVAo,HCC Chancellor Dr. Margaret Ford Fisher receives 40-Year Service Award,2025-09-02T17:26:51+00:00,0,False,0,False,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,nB4Dtt9BTsU,The journey from Psychology to Artificial Intelligence  #wearehcc #shorts #artificialintelligence,2025-09-02T17:03:05+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,_Vlgm4fucPA,"HCCTV Up To The Minute Live: August 29, 2025",2025-08-30T03:31:44+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,TXjCeHq9JZU,The Topic: Unique Paths to a New Career,2025-08-29T21:02:20+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,5TdvCxyq1iI,Start your new career in weeks! #shorts #wearehcc #scholarship #scholarships #workforce,2025-08-28T22:23:58+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,LFZshDFOQ1M,Take the fast track to a new career! #shorts #wearehcc  #scholarship  #scholarships  #workforce,2025-08-28T22:23:54+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,mu1_WhY3DfM,Get your Commercial Driver's License! #shorts #wearehcc  #scholarship  #scholarships  #workforce,2025-08-28T22:23:50+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,cFtOE5quvX0,Learn how you can join the HCC Police Academy  #wearehcc #shorts #policeacademy,2025-08-28T22:21:06+00:00,-5,False,0,True,below_min_score
Houston City College,UCwHm1fTMp6kfNN9owU62LYQ,Fkbu-k3hpYQ,Chloe Dao talks about the challenges & rewards of the fashion industry  #wearehcc #chloedao #fashion,2025-08-28T21:37:48+00:00,0,False,0,False,below_min_score
